City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,Altay,47.8667,88.1167,10.74,77,100,3.62,CN,2022-02-14 01:49:20
201,Zaranj,30.9667,61.8833,47.32,55,0,18.57,AF,2022-02-14 01:49:21
202,Nsanje,-16.92,35.262,72.48,98,84,2.04,MW,2022-02-14 01:49:21
203,Saint-Augustin,51.226,-58.6502,-23.12,93,43,6.2,CA,2022-02-14 01:49:22
204,San Quintin,30.4833,-115.95,66.81,39,0,8.43,MX,2022-02-14 01:49:22
205,Byron Bay,-28.65,153.6167,78.76,83,53,12.64,AU,2022-02-14 01:49:23
206,Port Blair,11.6667,92.75,71.64,88,20,2.3,IN,2022-02-14 01:49:23
207,Moose Factory,51.2585,-80.6094,-14.82,76,0,2.3,CA,2022-02-14 01:49:24
208,Paamiut,61.994,-49.6678,10.36,90,100,17.74,GL,2022-02-14 01:49:24
209,Roald,62.5833,6.1333,37.33,87,100,28.77,NO,2022-02-14 01:49:25
210,Zhigansk,66.7697,123.3711,-32.57,98,56,1.77,RU,2022-02-14 01:49:26
211,Nosy Varika,-20.5833,48.5333,73.45,93,50,4.09,MG,2022-02-14 01:49:27
212,Freeport,40.6576,-73.5832,30.25,76,100,10.36,US,2022-02-14 01:45:03
213,Killybegs,54.6333,-8.45,43.45,84,99,17.22,IE,2022-02-14 01:49:28
214,San Patricio,28.017,-97.5169,55.49,39,92,8.39,US,2022-02-14 01:49:28
215,Haines Junction,60.7522,-137.5108,21.15,73,79,0.0,CA,2022-02-14 01:49:28
216,Kamenka,51.3223,42.7678,5.52,97,82,6.17,RU,2022-02-14 01:44:54
217,Lebu,-37.6167,-73.65,57.61,91,98,5.28,CL,2022-02-14 01:49:29
218,Vardo,70.3705,31.1107,23.59,87,100,17.11,NO,2022-02-14 01:49:30
219,Bethel,41.3712,-73.414,27.48,65,100,6.91,US,2022-02-14 01:49:31
220,Tiznit,29.5833,-9.5,52.41,50,0,3.51,MA,2022-02-14 01:49:31
221,Mao,39.8885,4.2658,54.16,82,75,12.66,ES,2022-02-14 01:49:32
222,Namatanai,-3.6667,152.4333,85.1,69,84,6.29,PG,2022-02-14 01:49:33
223,Korla,41.7597,86.1469,27.27,52,9,3.89,CN,2022-02-14 01:49:33
224,Kipini,-2.5257,40.5262,77.29,88,100,6.89,KE,2022-02-14 01:49:34
225,Manakara,-22.1333,48.0167,72.55,93,25,2.59,MG,2022-02-14 01:49:34
226,Oranjemund,-28.55,16.4333,64.02,92,7,9.06,NA,2022-02-14 01:49:35
227,Ebebiyin,2.1511,11.3353,66.85,99,100,2.62,GQ,2022-02-14 01:49:35
228,Sawtell,-30.3833,153.1,75.22,69,100,10.36,AU,2022-02-14 01:49:37
229,Hingoli,19.7167,77.15,64.44,33,6,5.97,IN,2022-02-14 01:49:38
230,Araouane,18.9048,-3.5265,58.91,23,25,11.01,ML,2022-02-14 01:49:38
231,Zeya,53.75,127.2667,8.85,70,100,3.87,RU,2022-02-14 01:49:39
232,Narsaq,60.9167,-46.05,17.01,96,100,7.07,GL,2022-02-14 01:50:39
233,Lasa,46.6166,10.7002,29.66,69,3,1.7,IT,2022-02-14 01:50:40
234,Tunceli,39.1083,39.5471,28.6,71,100,4.99,TR,2022-02-14 01:50:41
235,Rio Grande,-32.035,-52.0986,64.51,56,0,13.29,BR,2022-02-14 01:50:42
236,Antalaha,-14.9003,50.2788,72.52,91,69,5.06,MG,2022-02-14 01:50:42
237,Tecoanapa,16.5167,-98.75,79.66,69,89,4.23,MX,2022-02-14 01:50:43
238,Luan,46.3592,6.9759,29.97,78,8,8.16,CH,2022-02-14 01:50:44
239,Balykshi,47.0667,51.8667,26.6,93,40,11.18,KZ,2022-02-14 01:50:44
240,Ossora,59.2353,163.0719,2.39,77,78,7.83,RU,2022-02-14 01:50:45
241,Mankera,31.3866,71.4407,56.14,50,76,4.45,PK,2022-02-14 01:50:46
242,Bako,5.7833,36.5667,66.72,42,93,3.76,ET,2022-02-14 01:50:47
243,Ilulissat,69.2167,-51.1,-4.52,96,100,5.75,GL,2022-02-14 01:50:47
244,Broome,42.2506,-75.833,16.02,74,0,6.91,US,2022-02-14 01:50:48
245,Lavrentiya,65.5833,-171.0,-18.63,93,13,2.21,RU,2022-02-14 01:50:48
246,Jarinu,-23.1014,-46.7283,71.98,94,0,3.58,BR,2022-02-14 01:50:49
247,Stornoway,58.2093,-6.3865,42.76,89,75,19.57,GB,2022-02-14 01:50:50
248,Usinsk,65.9939,57.5281,3.0,98,89,8.7,RU,2022-02-14 01:46:01
249,Maloma,15.1135,120.0639,82.42,62,84,1.14,PH,2022-02-14 01:50:51
250,Elat,29.5581,34.9482,51.64,62,0,5.75,IL,2022-02-14 01:50:51
251,Artesia,33.8658,-118.0831,83.14,22,0,13.8,US,2022-02-14 01:50:52
252,Cidreira,-30.1811,-50.2056,68.77,88,24,2.75,BR,2022-02-14 01:50:52
253,Livingston,55.9029,-3.5226,40.68,95,100,3.44,GB,2022-02-14 01:46:58
